x,y,z,Cell Type
0.0536808,0.432806,-0.058547,Arterial Endothelial
0.0605334,0.425419,-0.0617242,Arterial Endothelial
0.0622151,0.421213,-0.0620639,Arterial Endothelial
0.0591268,0.427689,-0.0631274,Arterial Endothelial
0.0568224,0.422638,-0.0584926,Arterial Endothelial
0.0651398,0.42301,-0.0477377,Arterial Endothelial
0.0540543,0.425621,-0.063522,Arterial Endothelial
0.0503019,0.429721,-0.0559523,Arterial Endothelial
0.0607257,0.426278,-0.0541594,Arterial Endothelial
0.0576486,0.433113,-0.0523459,Arterial Endothelial
0.074883,0.419086,-0.0575851,Arterial Endothelial
0.0542252,0.433181,-0.0583095,Arterial Endothelial
0.0608026,0.430581,-0.0524368,Arterial Endothelial
0.0572745,0.422469,-0.0684208,Arterial Endothelial
0.0623936,0.427583,-0.0562646,Arterial Endothelial
0.0597907,0.427229,-0.0495515,Arterial Endothelial
0.0560343,0.42512,-0.0578789,Arterial Endothelial
0.057062,0.43313,-0.0586275,Arterial Endothelial
0.0573475,0.43218,-0.0544603,Arterial Endothelial
0.0712458,0.416233,-0.0590651,Arterial Endothelial
0.0655389,0.421673,-0.0518407,Arterial Endothelial
0.0671632,0.427097,-0.0588978,Arterial Endothelial
0.0591665,0.430153,-0.0537939,Arterial Endothelial
0.0702872,0.425303,-0.0509573,Arterial Endothelial
0.0653041,0.429506,-0.0575296,Arterial Endothelial
0.0545066,0.426581,-0.0551016,Arterial Endothelial
0.0658464,0.419361,-0.0594199,Arterial Endothelial
0.0754844,0.420066,-0.0435626,Arterial Endothelial
0.0673025,0.418089,-0.0525908,Arterial Endothelial
0.0505251,0.427756,-0.0593592,Arterial Endothelial
0.0720214,0.425236,-0.0520184,Arterial Endothelial
0.0720179,0.421741,-0.0591473,Arterial Endothelial
0.0751047,0.418937,-0.0457126,Arterial Endothelial
0.063553,0.428778,-0.0561719,Arterial Endothelial
0.0626458,0.418639,-0.0586737,Arterial Endothelial
0.0743579,0.420125,-0.0445104,Arterial Endothelial
0.0640037,0.423294,-0.0557427,Arterial Endothelial
0.0621343,0.422187,-0.0610997,Arterial Endothelial
0.056354,0.4337,-0.0599683,Arterial Endothelial
0.0691806,0.427067,-0.0511561,Arterial Endothelial
0.0603644,0.433532,-0.0580176,Arterial Endothelial
0.0559551,0.430299,-0.0625372,Arterial Endothelial
0.0543041,0.427841,-0.0638296,Arterial Endothelial
0.0693447,0.418875,-0.0474029,Arterial Endothelial
0.0681224,0.419953,-0.0504098,Arterial Endothelial
0.0613876,0.424479,-0.0644856,Arterial Endothelial
0.0753576,0.419682,-0.0548101,Arterial Endothelial
0.0573236,0.435347,-0.0598607,Arterial Endothelial
0.0518558,0.427976,-0.0593067,Arterial Endothelial
0.0650327,0.420405,-0.0652592,Arterial Endothelial
0.0621655,0.426636,-0.0477595,Arterial Endothelial
0.0518233,0.430793,-0.0586267,Arterial Endothelial
0.0574997,0.424523,-0.0518112,Arterial Endothelial
0.0621566,0.418235,-0.0669982,Arterial Endothelial
0.0744452,0.416229,-0.0523172,Arterial Endothelial
0.06256,0.430865,-0.0594239,Arterial Endothelial
0.0655801,0.427535,-0.0565263,Arterial Endothelial
0.0721143,0.417695,-0.0523571,Arterial Endothelial
0.0670767,0.41716,-0.0666219,Arterial Endothelial
0.0616333,0.429389,-0.0527483,Arterial Endothelial
0.0643676,0.42424,-0.0481539,Capillary Endothelial
0.073788,0.41881,-0.048206,Capillary Endothelial
0.0634608,0.417955,-0.063252,Capillary Endothelial
0.0610851,0.430806,-0.0558219,Capillary Endothelial
0.0582291,0.432787,-0.055573,Capillary Endothelial
0.0693654,0.424853,-0.0505841,Capillary Endothelial
0.0744558,0.419896,-0.0470142,Capillary Endothelial
0.0607505,0.427131,-0.0592801,Capillary Endothelial
0.05878,0.429741,-0.050839,Capillary Endothelial
0.06082,0.423268,-0.0624196,Capillary Endothelial
0.0627233,0.426242,-0.0504501,Capillary Endothelial
0.0591567,0.432354,-0.0535403,Capillary Endothelial
0.0672459,0.424759,-0.0597361,Capillary Endothelial
0.0688655,0.415186,-0.0625236,Capillary Endothelial
0.0596891,0.430782,-0.0532847,Capillary Endothelial
0.0737701,0.420911,-0.0560751,Capillary Endothelial
0.0669122,0.421628,-0.0467992,Capillary Endothelial
0.0708253,0.420593,-0.0603252,Capillary Endothelial
0.0751698,0.415544,-0.0479404,Capillary Endothelial
0.0541165,0.428443,-0.057222,Capillary Endothelial
0.0619626,0.429002,-0.0557522,Capillary Endothelial
0.0726244,0.419722,-0.0490767,Capillary Endothelial
0.061848,0.424402,-0.0596733,Capillary Endothelial
0.0673011,0.425057,-0.050072,Capillary Endothelial
0.076245,0.418931,-0.0468762,Capillary Endothelial
0.0758761,0.415708,-0.0498063,Capillary Endothelial
0.0640005,0.427596,-0.0477328,Capillary Endothelial
0.051489,0.429254,-0.0546935,Capillary Endothelial
0.0689613,0.417165,-0.0644728,Capillary Endothelial
0.0671955,0.424095,-0.0497583,Capillary Endothelial
0.0756829,0.419512,-0.0540757,Capillary Endothelial
0.0646744,0.422956,-0.0631191,Capillary Endothelial
0.055636,0.427426,-0.061966,Capillary Endothelial
0.0636976,0.431034,-0.0521556,Capillary Endothelial
0.0720928,0.422844,-0.0542816,Capillary Endothelial
0.0585859,0.420761,-0.065718,Capillary Endothelial
0.0679654,0.421365,-0.0519315,Capillary Endothelial
0.0609598,0.424051,-0.0502399,Capillary Endothelial
0.0614023,0.425548,-0.0621078,Capillary Endothelial
0.0577379,0.432611,-0.0521911,Capillary Endothelial
0.0572621,0.424978,-0.0585619,Capillary Endothelial
0.0764489,0.416758,-0.0527934,Capillary Endothelial
0.0628082,0.41876,-0.0639701,Capillary Endothelial
0.0644509,0.419695,-0.0537024,Capillary Endothelial
0.0594418,0.427664,-0.0584433,Capillary Endothelial
0.0499298,0.432958,-0.0584239,Capillary Endothelial
0.0720349,0.420698,-0.0497333,Capillary Endothelial
0.0665553,0.421032,-0.0646326,Capillary Endothelial
0.0650496,0.423558,-0.0605291,Capillary Endothelial
0.0738587,0.422639,-0.0511232,Capillary Endothelial
0.0596986,0.421254,-0.0559681,Capillary Endothelial
0.0630876,0.424997,-0.052598,Capillary Endothelial
0.0705372,0.416477,-0.052653,Capillary Endothelial
0.0585914,0.422191,-0.0587417,Capillary Endothelial
0.0762598,0.416732,-0.0470729,Capillary Endothelial
0.0589312,0.420619,-0.0616081,Capillary Endothelial
0.062737,0.429653,-0.0528917,Capillary Endothelial
0.0635605,0.418697,-0.0608957,Capillary Endothelial
0.0519246,0.436184,-0.0577112,Capillary Endothelial
0.0708267,0.420489,-0.0479099,Capillary Endothelial
0.0559403,0.430413,-0.0540507,Capillary Endothelial
0.0692424,0.424261,-0.0462205,Capillary Endothelial
0.0627969,0.427594,-0.0592837,Capillary Endothelial
0.064175,0.43086,-0.0578551,Capillary Endothelial
0.0572801,0.422888,-0.0658464,Capillary Endothelial
0.0494232,0.42959,-0.0563436,Capillary Endothelial
0.0573978,0.423783,-0.0654171,Capillary Endothelial
0.0616931,0.423748,-0.0523505,Capillary Endothelial
